county,countyfp20,district_num,district_geoid,area_weight
Adams,001,79,18079,1.000000000000
Adams,001,85,18085,0.000000000000
Allen,003,18,18018,0.000000000000
Allen,003,50,18050,0.000000000000
Allen,003,52,18052,0.000000000000
Allen,003,79,18079,0.000000000000
Allen,003,80,18080,0.039579538534
Allen,003,81,18081,0.198966880328
Allen,003,82,18082,0.037552998425
Allen,003,83,18083,0.059489597960
Allen,003,84,18084,0.049365147374
Allen,003,85,18085,0.615045837378
Bartholomew,005,47,18047,0.000000000000
Bartholomew,005,59,18059,0.540845843795
Bartholomew,005,62,18062,0.000000000000
Bartholomew,005,69,18069,0.050272951964
Bartholomew,005,73,18073,0.408881204241
Benton,007,13,18013,1.000000000000
Benton,007,16,18016,0.000000000000
Blackford,009,31,18031,0.000000000000
Blackford,009,33,18033,1.000000000000
Blackford,009,35,18035,0.000000000000
Blackford,009,50,18050,0.000000000000
Blackford,009,79,18079,0.000000000000
Boone,011,24,18024,0.168084850925
Boone,011,25,18025,0.231125346422
Boone,011,28,18028,0.170097659625
Boone,011,41,18041,0.430692143028
Boone,011,86,18086,0.000000000000
Brown,013,47,18047,0.000000000000
Brown,013,59,18059,0.000000000000
Brown,013,60,18060,0.000000000000
Brown,013,62,18062,1.000000000000
Carroll,015,16,18016,0.000000000000
Carroll,015,23,18023,0.000000000000
Carroll,015,38,18038,1.000000000000
Carroll,015,41,18041,0.000000000000
Cass,017,16,18016,0.000000000000
Cass,017,17,18017,0.000000000000
Cass,017,23,18023,0.840883053195
Cass,017,38,18038,0.159116946805
Clark,019,66,18066,0.726199519583
Clark,019,70,18070,0.174765246034
Clark,019,71,18071,0.099026727390
Clark,019,72,18072,0.000008506993
Clay,021,42,18042,0.399834209473
Clay,021,44,18044,0.000000000000
Clay,021,45,18045,0.000000000000
Clay,021,46,18046,0.600165790527
Clinton,023,24,18024,0.000000000000
Clinton,023,38,18038,0.354011725305
Clinton,023,41,18041,0.645988274695
Crawford,025,65,18065,0.000000000000
Crawford,025,70,18070,0.000000000000
Crawford,025,74,18074,1.000000000000
Daviess,027,45,18045,0.165448051160
