district,name,district_geoid,aland,awater
1,State Senate District 1,18001,178589700,549105
2,State Senate District 2,18002,121104159,14729126
3,State Senate District 3,18003,295075274,308453383
4,State Senate District 4,18004,590232852,290531990
5,State Senate District 5,18005,3857365501,17654374
6,State Senate District 6,18006,3518701031,13070816
7,State Senate District 7,18007,3257655576,2499327
8,State Senate District 8,18008,3406962853,37667374
9,State Senate District 9,18009,1406449170,48912401
10,State Senate District 10,18010,503939244,4399546
11,State Senate District 11,18011,384367511,7974814
12,State Senate District 12,18012,636701540,5390082
13,State Senate District 13,18013,3123645916,72142488
14,State Senate District 14,18014,1559880994,6886161
15,State Senate District 15,18015,208969366,447122
16,State Senate District 16,18016,1238655650,6783058
17,State Senate District 17,18017,3132018428,37080386
18,State Senate District 18,18018,4223581568,39832968
19,State Senate District 19,18019,3479887700,10698133
20,State Senate District 20,18020,345491853,10965293
21,State Senate District 21,18021,1180027349,1343346
22,State Senate District 22,18022,1648107282,13756295
23,State Senate District 23,18023,4849071383,37683633
24,State Senate District 24,18024,1323656543,6460257
25,State Senate District 25,18025,1381214482,4084093
26,State Senate District 26,18026,2187215592,12261495
27,State Senate District 27,18027,2982955533,39738287
28,State Senate District 28,18028,1237857956,5401054
29,State Senate District 29,18029,207318979,7588763
30,State Senate District 30,18030,143912878,2310200
31,State Senate District 31,18031,162267685,10124932
32,State Senate District 32,18032,296783624,192509
33,State Senate District 33,18033,92278352,1142461
34,State Senate District 34,18034,123593971,827233
35,State Senate District 35,18035,373482950,1723287
36,State Senate District 36,18036,134397367,275979
37,State Senate District 37,18037,2250803302,24348346
38,State Senate District 38,18038,2174170826,27352469
39,State Senate District 39,18039,6203052741,77026694
40,State Senate District 40,18040,760761634,5429742
41,State Senate District 41,18041,1437801856,8227351
42,State Senate District 42,18042,5312660642,14081141
43,State Senate District 43,18043,3538125840,30557484
44,State Senate District 44,18044,4585003849,92904961
45,State Senate District 45,18045,987003469,10890374
46,State Senate District 46,18046,94689519,1497031
47,State Senate District 47,18047,2946515793,15294979
48,State Senate District 48,18048,6043055056,101269546
49,State Senate District 49,18049,1538395572,33295920
50,State Senate District 50,18050,1123152013,18244174
