ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",67795,-0.0009,0.6548,0.3098,0.0354,50809,0.356,0.644,0.3806,0.2425,0.0133,0.0299,0.0012,
"2",67932,0.0011,0.8061,0.1697,0.0242,49332,0.1675,0.8325,0.2973,0.5316,0.006,0.02,0.0013,
"3",67871,0.0002,0.6192,0.3287,0.052,51112,0.4726,0.5274,0.1468,0.358,0.0085,0.023,0.001,
"4",67768,-0.0013,0.3706,0.5536,0.0757,52999,0.8545,0.1455,0.0676,0.0296,0.0228,0.0184,0.0011,
"5",67317,-0.0079,0.3571,0.5967,0.0462,51105,0.8262,0.1738,0.0396,0.0574,0.0496,0.021,0.0017,
"6",68093,0.0035,0.5871,0.3699,0.043,49380,0.559,0.441,0.1348,0.2693,0.0162,0.0273,0.0011,
"7",67968,0.0017,0.3363,0.5994,0.0643,52305,0.793,0.207,0.0878,0.0845,0.0107,0.0192,0.0012,
"8",68104,0.0037,0.4608,0.5035,0.0357,56276,0.7387,0.2613,0.0634,0.1302,0.0476,0.0168,0.0017,
"9",68398,0.008,0.4419,0.4862,0.072,54236,0.7601,0.2399,0.0548,0.1457,0.0143,0.0213,0.0013,
"10",68098,0.0036,0.4316,0.4821,0.0863,52462,0.7508,0.2492,0.1294,0.0783,0.016,0.0238,0.001,
"11",67282,-0.0084,0.2334,0.653,0.1136,51639,0.8895,0.1105,0.0604,0.0076,0.0064,0.0244,0.0006,
"12",68365,0.0075,0.4617,0.4961,0.0422,53933,0.702,0.298,0.1488,0.0961,0.0377,0.019,0.0006,
"13",67259,-0.0088,0.2023,0.6462,0.1515,50492,0.8965,0.1035,0.0488,0.0202,0.011,0.0188,0.001,
"14",67265,-0.0087,0.698,0.2686,0.0334,51716,0.3422,0.6578,0.1183,0.5186,0.0158,0.0208,0.0009,
"15",67941,0.0013,0.3468,0.6105,0.0427,53686,0.7994,0.2006,0.1044,0.0452,0.0336,0.0153,0.0009,
"16",67731,-0.0018,0.1847,0.6641,0.1512,52403,0.9063,0.0937,0.0545,0.0066,0.0046,0.0219,0.0009,
"17",67242,-0.009,0.1942,0.6413,0.1645,50856,0.8854,0.1146,0.075,0.0088,0.0079,0.0191,0.0004,
"18",68352,0.0073,0.1572,0.6714,0.1715,51616,0.8921,0.1079,0.0748,0.0061,0.0062,0.018,0.0007,
"19",67896,0.0006,0.3498,0.5882,0.062,52202,0.8073,0.1927,0.0903,0.0566,0.0246,0.0194,0.0006,
"20",67777,-0.0012,0.2911,0.5956,0.1133,52961,0.8616,0.1384,0.0582,0.0432,0.0083,0.0197,0.0011,
"21",67374,-0.0071,0.286,0.6126,0.1014,48211,0.6934,0.3066,0.1829,0.094,0.0097,0.0229,0.0009,
